instruction,output
How can I get legal assistance as a low-income landlord?,"You can reach out to Legal Aid Ontario for legal assistance. They provide support for low-income individuals and families through Ontario's Community Legal Clinics, including the Landlord Self-Help Centre which specifically supports small landlords."
Where can I find support and advice as a small landlord?,"You can contact the Landlord Self-Help Centre, which is a Legal Aid Ontario legal clinic specifically designed to support small landlords. They can also direct you to other community agencies for additional support and advice."
What kind of legal services does Legal Aid Ontario provide for low-income individuals?,"Legal Aid Ontario provides legal assistance for low-income individuals and families through Ontario's Community Legal Clinics. These services cover several areas of law, including support for small landlords through the Landlord Self-Help Centre."
How can the Human Rights Legal Support Centre help me?,"The HRLSC can provide legal advice, assistance with filing applications at the HRTO, and legal representation at mediation and hearings. They also offer culturally sensitive Indigenous legal support and accommodations for persons with disabilities."
How can I access legal expertise through JusticeNet?,"You can access legal expertise through JusticeNet if your net family income is under $59,000 and you are experiencing financial difficulties. You can reach out to them for assistance."
How can I find a lawyer for landlord tenant issues?,You can use the referral service provided by the Law Society of Ontario for a free consultation of up to 30 minutes to help you determine your rights and options.
How can I get legal assistance from Justice for Children and Youth?,"You can contact JFCY to see if you are eligible for direct legal assistance from their staff lawyers. They also offer summary legal advice and information to young people, parents, professionals, and community groups across Ontario."
How to handle a complaint from a child or youth regarding services?,Acknowledge the complaint and provide information on how to file a formal complaint with the Advocate’s Office.
How can I get free child advocacy for my child's education rights?,You can contact Law Help Ontario’s Education Law Project for free child advocacy services.
How can I access free legal information on housing in Ontario?,"You can visit the Your Legal Rights website, which provides practical legal information on housing and other topics. Additionally, Community Legal Education Ontario produces free legal information in print and online, in English, French, and other languages, on housing and social assistance."
What are the requirements for publishing governance and public accountability documents?,"The requirements include publishing a mandate and mission statement, qualifications for members, service standards, a complaints policy, and an ethics plan."
How are appointments of members made?,"Appointments of members are made following a competitive, merit-based competition."
How can I engage with Tribunals Ontario for landlord tenant issues?,"You can use online information tools, call the contact centre, or communicate via email with the tribunals. Additionally, some paper LTB applications can be accepted at over 60 ServiceOntario locations across Ontario."
How long does it take for a hearing to be scheduled for L1 and L9 applications?,"On average, L1 and L9 applications are being scheduled within five months."
How long does it take for orders to be provided after a hearing?,"On average, orders are being provided within 60 days or less of a hearing."
What is the average processing time for other new and adjourned matters?,"On average, other new and adjourned matters are currently being scheduled within seven to eight months from when they were received or adjourned."
Where can I find information about the LTB's application and hearing process?,"You can find a step-by-step explanation of the LTB's Application and Hearing Process on the Housing Law section of Steps to Justice, or consult the LTB Renting in Ontario webpage and guidelines."
How can I submit documents to the Landlord and Tenant Board during the closure of public counters?,"You can mail or courier your documents to a Landlord and Tenant Board office. If using courier mail, address it to 15 Grosvenor Street, Ground Floor, Toronto, Ontario M7A 2G6. If using Canada Post, address it to the closest LTB office based on your location."
Can I file applications at ServiceOntario counters?,"Yes, applications can be filed at the ServiceOntario counters at specific LTB office addresses. For inquiries, call 1-888-332-3234."
Can I make credit card payments via fax for LTB applications?,"No, the LTB cannot accept credit card payment via fax. Applications faxed to the LTB with credit card information will be automatically deleted and not processed."
How can I file a landlord and tenant board application?,"You can file your application through the Tribunals Ontario Portal for specific applications, or by email, online payment, mail, or courier to your LTB regional office. Processing time may vary depending on the method of submission."
How can I learn more about my rights and responsibilities as a landlord?,"You can visit the Housing Law section of Steps to Justice, consult the LTB Renting in Ontario webpage and guidelines, and use the Tribunals Ontario Portal to check the status of your file and find out the date and details of your next hearing."
How can I submit documents to the Landlord and Tenant Board?,"You can mail or courier your documents to a Landlord and Tenant Board office. Remember to include your file number, if you have one. Courier mail should be addressed to the specific office, and mail sent through Canada Post should be addressed to the closest LTB office. Applications can also be filed at the ServiceOntario counter at specific addresses."
How can I contact the Landlord and Tenant Board for inquiries?,"For inquiries, you can call 1-888-332-3234."
Can I make credit card payments via fax to the Landlord and Tenant Board?,The LTB cannot accept credit card payment via fax. Applications faxed to the LTB with credit card information will be automatically deleted and not processed.
How can I file a Landlord and Tenant Board application?,"You can file your application through the Tribunals Ontario Portal for specific applications, or by email, mail, or courier to your LTB regional office. Some ServiceOntario Centres also accept applications in-person."
Can I get information about the law or LTB procedures from ServiceOntario staff?,"No, ServiceOntario staff cannot provide you with information about the law or LTB procedures."
What are the hours to speak to a customer service officer at the Landlord and Tenant Board?,You can call and speak to a customer service officer Monday to Friday from 8:30 a.m. to 5:00 p.m.
Can I mail or fax documents to a ServiceOntario location for the Landlord and Tenant Board?,"No, you cannot mail or fax documents to a ServiceOntario location. If you are mailing documents, send them to one of the LTB offices."
How to contact customer service at Landlord Tenant Board?,"You can call and speak to a customer service officer Monday to Friday from 8:30 a.m. to 5:00 p.m. at the toll-free number 1-888-332-3234 or the Toronto area number 416-645-8080. Wait times can be long, especially on Mondays, the first business day of the month, and from 11:00 am to 1:00 pm."
What should I do before contacting the LTB?,Review the Residential Tenancies Act and the LTB website to understand your rights and responsibilities as a landlord.
How can I prepare for a hearing at the LTB?,"Gather all relevant documents, such as the lease agreement, communication with the tenant, and any evidence supporting your case."
Can I contact the LTB for general information?,"Yes, you can contact the LTB for general information, but they cannot provide legal advice."
How can I submit documents to the Landlord and Tenant Board office?,"You can mail or courier your documents to a Landlord and Tenant Board office. If using courier mail, address it to 15 Grosvenor Street, Ground Floor, Toronto, Ontario M7A 2G6. If using Canada Post, address it to the closest LTB office based on your location."
Can I file applications at the ServiceOntario counter?,"Yes, applications can be filed at the ServiceOntario counter at specific LTB office addresses. For inquiries, call 1-888-332-3234."
How can I make inquiries to the Landlord and Tenant Board?,You can make inquiries by calling 1-888-332-3234.
Can I pay with a credit card via fax?,The LTB cannot accept credit card payment via fax. Applications faxed to the LTB with credit card information will be automatically deleted and not processed.
How can I file a Landlord and Tenant Board application?,"You can file your application through the Tribunals Ontario Portal for specific applications, or by email, online payment, or by mail or courier to your LTB regional office for most other applications."
Where can I file my Landlord and Tenant Board application?,"You can file your application in-person at some ServiceOntario Centres, through the Tribunals Ontario Portal, by email, or by mail or courier to your LTB regional office."
How to file evidence for upcoming hearings with the LTB?,"You can file your evidence online on the Tribunals Ontario Portal. If you are not able to file on the portal, please send all evidence for upcoming hearings by email to LTB.Evidence@ontario.ca. The email subject line must include your file number and the hearing date."
How to submit new applications and requests for review to the LTB?,New applications and requests for review that have been paid online and filed by email must be submitted by email along with the supporting documents and payment receipt to: ltbpayments@ontario.ca. This does not apply to applications filed on the Tribunals Ontario Portal.
How to check the status of my file with the LTB?,"Use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing and whether an order has been issued."
How to make general inquiries to the LTB?,The LTB does not respond by email to general inquiries. You may wish to review the information and resources on their website.
How can I contact Tribunals Ontario - Landlord Tenant Board?,"You can contact them by phone for general inquiries or use Navigate Tribunals Ontario. You can also find information on their website by reading the Application and Hearing Process, Renting in Ontario, or using the search function."
How to file an eviction application with the Landlord Tenant Board?,You can file an eviction application with the Landlord Tenant Board by completing Form L1 - Application to Evict a Tenant for Non-payment of Rent and/or Form L2 - Application to End a Tenancy and Evict a Tenant. These forms can be submitted online through the LTB's website or in person at a ServiceOntario location.
What are the grounds for eviction in a non-profit housing co-operative?,"In a non-profit housing co-operative, grounds for eviction may include non-payment of housing charges, persistent late payment of housing charges, substantial interference with the reasonable enjoyment of the co-operative community, or other breaches of the co-operative's by-laws or rules."
How can a landlord terminate a tenancy in a non-profit housing co-operative?,A landlord in a non-profit housing co-operative can terminate a tenancy by providing the tenant with a notice of termination that specifies the reason for termination and the date by which the tenant must vacate the unit. The notice must comply with the requirements set out in the Residential Tenancies Act.
What is the process for resolving disputes between landlords and tenants in a non-profit housing co-operative?,"Disputes between landlords and tenants in a non-profit housing co-operative can be resolved through mediation or arbitration, which may be facilitated by the co-operative's internal dispute resolution process or through the Landlord Tenant Board. It is important to review the co-operative's by-laws and rules, as well as the Residential Tenancies Act, to understand the specific dispute resolution procedures."
How to file evidence for upcoming hearings with the LTB?,"You can file your evidence online on the Tribunals Ontario Portal. If you are not able to file on the portal, please send all evidence for upcoming hearings by email to LTB.Evidence@ontario.ca. The email subject line must include your file number and the hearing date."
How to submit new applications and requests for review to the LTB?,New applications and requests for review that have been paid online and filed by email must be submitted by email along with the supporting documents and payment receipt to: ltbpayments@ontario.ca. This does not apply to applications filed on the Tribunals Ontario Portal.
How to check the status of my file with the LTB?,"Use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing and whether an order has been issued. The LTB does not respond by email to these types of inquiries."
Where to send general inquiries to the LTB?,The LTB does not respond by email to general inquiries. It is recommended to review the information and resources on their website or use specific email addresses for file-specific inquiries.
How can I get information about the LTB's procedures for non-profit housing co-operative evictions?,"You can call 1-888-332-3234, 416-645-8080 or email co-opprocessingLTB@ontario.ca for inquiries about the LTB's procedures for non-profit housing co-operative evictions."
How to request an accommodation for a hearing?,"You can request an accommodation by filling out the Request for Accommodation form and sending it to the LTB as soon as possible. This can be done via email, mail, fax, or courier. The LTB will then consider your request before the hearing."
How to request a mediation or hearing in French?,"You can request a mediation or hearing in French by completing the Request for French-Language Services included in the application form, or by completing the Request for French-Language Services and emailing it to LTB@ontario.ca."
How to get technical support for Zoom hearing connection issues?,"You can email LTBHearingSupport@ontario.ca, or call 416-212-9064 (toll-free 866-769-7865). The support line is monitored between 8:30 a.m. and 4:30 p.m., Monday to Thursday, and from 8:30 a.m. to 2 p.m. on Friday. When you call for support, you will be asked to leave a brief voice message explaining the issue you are experiencing and provide your contact phone number. Staff will call you back promptly."
How to troubleshoot Zoom technical issues?,It seems like the provided text is not related to Zoom technical support. Please provide specific details or error messages related to the Zoom issue for accurate troubleshooting assistance.
How can I get technical support for joining a hearing on Zoom?,You can email LTBHearingSupport@ontario.ca or call 416-212-9064 (toll-free 866-769-7865) for assistance in joining your hearing.
How to handle media inquiries as a landlord?,"As a landlord, it's important to handle media inquiries carefully. You should consider consulting with a legal professional or a public relations expert to ensure that you are providing accurate and appropriate information to the media."
How can I contact the Landlord Tenant Board?,You can contact the Landlord Tenant Board by phone at 416-645-8080 or toll-free at 1-888-332-3234. You can also reach them by email at LTB@ontario.ca.
How to contact the Fire Safety Commission about a case?,You can contact the Fire Safety Commission about your case by telephone at 416-326-1312 or toll-free at 1-866-598-0322. You can also email them at FSCregistrar@ontario.ca.
What is the telephone number for the Ontario Civilian Police Commission?,You can reach the Ontario Civilian Police Commission by telephone at 416-326-1356 or toll-free at 1-888-444-0240.
How to contact the Human Rights Tribunal of Ontario about the appeal process or a file?,"If you have any questions about the appeal process or your file, you can contact the Human Rights Tribunal of Ontario by telephone at 416-326-1356 or toll-free at 1-888-444-0240. You can also email them at OCPCregistrar@ontario.ca."
How can I contact Tribunals Ontario - Landlord Tenant Board?,"You can contact them by phone at 416-326-1356 or toll-free at 1-888-444-0240. For TTY service, you can call 416-916-0162 or toll-free TTY at 1-844-650-2819. You can also email them at oset@ontario.ca."
How to submit applications and supporting documentation to HRTO?,"You can email applications, supporting documentation, and case-related submissions to hrto.registrar@ontario.ca. If you submit by mail or courier, you may experience processing delays due to the closure of front-line counter services."
Why are there delays in services at HRTO?,"Due to the COVID-19 pandemic, some services at the HRTO may take longer than usual. This includes receiving confirmation of acceptance of filings; serving files, notices, and other documents on parties; responses to status updates and other correspondence; scheduling of mediations and hearings; and issuance of decisions."
How to check the status of my file with HRTO,"Due to high volume of inquiries, response times will be longer than usual. HRTO is working diligently to action your file as soon as possible. Please be patient and wait for their response."
How can I contact the office of the Landlord Tenant Board?,You can contact the office by phone or email only as the front-line counter services are closed to the public until further notice.
How to contact the landlord tenant board for media inquiries,You can contact the Landlord Tenant Board at [insert contact information here] for media inquiries.
How to use Navigate Tribunals Ontario?,"Navigate Tribunals Ontario will ask you a series of questions about your situation. At some points during your navigation, you may receive an info-sheet with in-depth information about the topic you are exploring. The information will help you decide what to do next. When you are done reading the info-sheet, click “Next” to continue navigating. At the end of your navigation, you may receive a summary report which shows the pathway you chose and relevant resources. You can print, email or download info-sheets and summary reports. You also have the option to “Save and Exit” the navigation. You will receive an access code which allows you to leave the navigation, come back and pick up where you left off. Note: Navigate Tribunals Ontario is not available on Internet Explorer (IE). Please use another internet browser."
How can I access in-depth information about a specific topic?,"You can receive an info-sheet with in-depth information about the topic you are exploring. The information will help you decide what to do next. You can print, email, or download info-sheets and summary reports for your reference."
How to start the eviction process for non-payment of rent?,You can start by filing an Application to Evict a Tenant for Non-Payment of Rent and to Collect Rent the Tenant Owes with the Landlord Tenant Board.
What type of application should I file to end a tenancy and evict a tenant?,You can file an Application to End a Tenancy and Evict a Tenant or Collect Money with the Landlord Tenant Board.
What application should I use if the tenant failed to meet conditions of a settlement or order?,You should file an Application to End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order with the Landlord Tenant Board.
How can I apply to collect rent the tenant owes?,You can file an Application to Collect Rent the Tenant Owes with the Landlord Tenant Board.
What application should I use to collect money a former tenant owes?,You should file an Application to Collect Money a Former Tenant Owes with the Landlord Tenant Board.
How can I access my file number and unique one-time pin for the Tribunals Ontario Portal?,The file number and unique pin are emailed and mailed to responding parties who have a file on the Tribunals Ontario Portal.
How to file for eviction with the Landlord and Tenant Board?,"To file for eviction with the Landlord and Tenant Board, you will need to complete the appropriate forms and submit them to the Board. The process for filing for eviction is outlined in the Residential Tenancies Act, which sets out the rights and responsibilities of residential landlords and tenants."
How are SBT adjudicators selected?,"SBT adjudicators are selected based on their experience, knowledge, and training in social assistance law and issues."
How long does an SBT hearing usually take?,"SBT hearings are often completed in under an hour, but some may take longer."
Who can appeal to the Ontario Special Education Tribunals?,"Parents, legal guardians, or adult students who disagree with a school board’s decision about the identification or placement of students with exceptional learning needs under the Education Act and its regulations can appeal to the Ontario Special Education Tribunals."
How can I request an accommodation for participating in CRB proceedings?,"If you think you might have problems participating in the CRB application and review process, please let your case processing officer know right away. We might be able to find another way of doing things, which we call “providing an accommodation”."
How to evict tenant,"Send them a notice of termination based on the specific reason for eviction, such as non-payment of rent or breach of lease agreement. If the tenant does not comply, you can apply to the Landlord Tenant Board for an eviction hearing."
What is the role of a dispute resolution officer?,"A dispute resolution officer can also act as a hearing officer, conducting case management hearings. At these hearings, parties may resolve some or all of the issues in the application or prepare for the full hearing by deciding the issues in dispute and ensuring they have all necessary documentation."
What is the role of a member of the LTB?,"A member of the LTB is a decision maker who holds hearings. They review evidence presented by landlords and tenants, apply relevant laws, and make legally enforceable decisions."
How can I request a French-language hearing or mediation with the Landlord Tenant Board?,Complete the Request for French-Language Services Form and submit it as soon as possible and well in advance of your hearing date.
How can I request French language services for HRTO mediations and hearings?,"You can file your application or response in French, and a bilingual member will be assigned to your hearing. If you filed in English but would prefer to continue in French, advise the HRTO as soon as possible. Additionally, HRTO can provide interpreters for languages other than French or English, including sign language, at no charge. Make your request for an interpreter to the HRTO as soon as possible and well in advance of your hearing or mediation."
How can I access French language services at the Child and Family Services Review Board?,"Documents and forms are available in both French and English. Mediations and hearings can be conducted in English, French, or both languages. If an application or response is filed in French, a bilingual member will be assigned. If you applied in English but would prefer to continue in French, please notify the board as soon as possible."
How to request a sign language interpreter for a hearing impairment?,Complete the “Request for Accommodation or French-Language Services” form and make the request as soon as possible and well in advance of your hearing.
How should I contact the Landlord Tenant Board for file-specific inquiries and requests?,You should email your file-specific inquiries and requests to LTB@ontario.ca.
How to submit file-specific inquiries and requests to the Landlord Tenant Board?,"You can email file-specific inquiries and requests to LTB@ontario.ca. For general file status, evidence submission, and other requests, it is encouraged to use the Tribunals Ontario Portal for real-time updates and timely addressing of requests."
How long does it take for L1 and L9 applications to be scheduled?,"On average, L1 and L9 applications are being scheduled within five months."
How long does it take for other new and adjourned matters to be scheduled?,"On average, other new and adjourned matters are currently being scheduled within seven to eight months from when they were received or adjourned."
How long does it take for orders to be sent after a hearing?,"On average, orders are being sent within 60 days or less of a hearing."
How can I check the status of my file and find out the details of my next hearing?,"Use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing and whether an order has been issued."
How long is the wait time to speak to a call centre representative?,"You may need to wait as long as 37 minutes to speak to a call centre representative. When all lines are busy with other callers, you will get a busy signal."
How can I submit applications for the Landlord and Tenant Board?,"You can submit applications online through the Tribunals Ontario Portal, where a total of 12 LTB application forms are now available."
How can I use the online dispute resolution feature?,You can use the online dispute resolution feature to connect directly with the other party to come to a resolution.
What is the process for self-scheduling a hearing date?,Eligible applicants can use the self-scheduling feature to select their preferred hearing date and timeslot available for their application type.
What are the steps for submitting a Landlord Application to Collect Rent the Tenant Owes?,You can submit a Landlord Application to Collect Rent the Tenant Owes through the portal.
How can I access the new online forms for the Landlord and Tenant Board (LTB)?,You can access the new online forms for the LTB through the Tribunals Ontario Portal. The portal has been updated with new forms and a self-scheduling feature for hearing dates and timeslots.
How to file an application to end a tenancy and evict a tenant for failure to meet conditions of a settlement or order?,You can file an Application to End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order with the Landlord Tenant Board. You may also be asked to consider online dispute resolution before proceeding with the application.
How can I receive documents such as Notice of Hearing or order faster?,You can receive documents faster by opting for all correspondence by email and through the portal. This will allow you to receive documents such as Notice of Hearing or order faster.
How to pay application fees by credit card for mail or courier filings?,Applicants must complete the Credit Card Payment Form and submit it with their application or request. The Credit Card Payment Form can be found on the Forms page.
Can I still provide credit card information directly on an application or request for mail or courier filings?,"No, applicants can no longer provide credit card information directly on an application or request for mail or courier filings. They must complete the Credit Card Payment Form and submit it with their application or request."
What if I am filing my application using the Tribunals Ontario Portal or by email?,"If you are filing your application using the Tribunals Ontario Portal or by email and paying using the Online Payment Portal, do not include credit card information on the form."
How can I submit a fee waiver request for my client?,You can submit a fee waiver request through the portal on behalf of your client as a Legal Representative.
Can I serve documents to the other party through the portal?,"Parties may serve each other with documents through the portal with written consent, as per Rule 3.1(i) and 3.9."
What is the process for submitting documents to the LTB?,"Parties may submit documents to the LTB through the portal, and there are provisions for submitting documents by email or fax as well, as per Rule 4.1."
Are electronically signed documents accepted by the LTB?,"Documents submitted to the LTB through the portal may be electronically signed, as per Rule 4.2."
How are settlement discussions during Online Dispute Resolution handled in terms of confidentiality?,Confidentiality of settlement discussions during Online Dispute Resolution is addressed in Rule 13.5.
How can I confirm with the LTB that I agree to give file-related documents to the other party?,"You can use the new form - Consent to Disclosure through the Tribunals Ontario Portal - to confirm with the LTB that you agree to give each other all file-related documents, evidence, and submissions by uploading them directly into the portal."
How can I submit urgent applications to the Landlord Tenant Board if I don't have access to a computer or internet?,"If you don’t have access to a computer and/or internet, and can’t file your application/document at your local ServiceOntario office, you can fax applications and documents that don’t have a fee associated, or where you are eligible for a fee waiver, to the new fax line at 1-833-610-2242 or (416) 326-6455."
