instruction,output
How can I request an in-person hearing with the Landlord Tenant Board?,"You can request an in-person hearing by establishing that it is required to accommodate a Human Rights Code-related need, such as a disability. You may need to provide evidence to support your request. The tribunal will consider your request and may also contact the other party involved to gather their views before making a decision."
How can I make a payment into the Landlord and Tenant Board?,"You can make a payment into the Landlord and Tenant Board if directed or ordered by an LTB adjudicator. This can happen if you are making the payment to stop an eviction based on your landlord's application, or if you have filed a maintenance application and asked to pay your rent into the LTB, and the LTB has permitted this."
How can I obtain a deposit slip from the LTB for making a payment?,"To obtain a deposit slip from the LTB for making a payment, you must first contact the LTB and request a deposit slip. The slip will have the LTB’s Trust Account number on it, and you will need to add your application number before depositing the payment into the trust account with CIBC."
Can I reproduce the materials for commercial purposes?,"You may only reproduce the materials for commercial purposes under a licence from the King's Printer, with the exception of Government of Ontario legal materials and materials covered under the Open Government Licence – Ontario."
How can I interact with the Landlord and Tenant Board online?,"You can interact with the Landlord and Tenant Board online through the online registry, which is available 24 hours a day, 365 days a year. This allows for easy interaction with the government for various transactions related to landlord and tenant matters."
How can I get assistance with the application and enforcement of legislation related to fire protection and prevention?,"You can seek assistance from the Fire Safety Commission, which provides administrative services and renders decisions for appeals and applications related to specific matters identified under the authority of the Fire Protection and Prevention Act, 1997."
What are my obligations as a party before the Board?,"Your obligations as a party before the Board include following the new Rules of Practice and Procedure, understanding the appeal process, and complying with the guidelines outlined in the Overview of the Assessment Cycle 2017-2020."
How can I file a complaint with the Landlord and Tenant Board?,You can file a complaint with the Landlord and Tenant Board by completing the application form available on their website and submitting it according to the instructions provided.
How can I access French language services at Tribunals Ontario?,"You can access French language services at Tribunals Ontario through counter and phone services, as well as all forms and publications being available in French. Additionally, if your application or appeal is submitted in French, a response is filed in French, or you request to participate in the proceedings in French, a bilingual member or mediator will be assigned to the hearing or mediation."
How can I request to conduct my SBT proceedings in French?,"If you prefer to conduct your SBT proceedings in French, you can file your appeal in French. A bilingual member will then be assigned to your hearing. If you initially filed in English but would like to continue in French, you should inform the SBT as soon as possible."
How can I access French language services as a tenant at Tribunals Ontario?,"As a tenant, you have the right to access French language services at Tribunals Ontario. You can request these services when communicating with the board, and they are committed to providing services in French in accordance with the French Language Services Act and their updated policy."
How can I request a smudging or other Indigenous cultural ceremony during my in-person proceeding with Tribunals Ontario?,"If you identify as a First Nation, Inuit, or Métis person and are a party, representative, witness, or other tribunal participant, you can make a request for a smudging or other Indigenous cultural ceremony during an already scheduled in-person proceeding. You can also request a hybrid of virtual and in-person formats to accommodate Indigenous cultural and ceremonial needs."
How can I request a smudging or other Indigenous cultural ceremony for an event?,"You can make a request in advance of the event to Tribunals Ontario, and they will make every effort to respond in a timely and respectful way. This helps tribunals’ and facility management partners to make the necessary arrangements to support your needs."
How can I request for smudging or other Indigenous cultural ceremonies during my in-person proceeding with Tribunals Ontario?,"If you identify as a First Nation, Inuit, or Métis person and are a party, representative, witness, or other tribunal participant, you can make a request for smudging or other Indigenous cultural ceremonies for an already scheduled in-person proceeding. You can also request a hybrid of virtual and in-person formats to accommodate Indigenous cultural and ceremonial needs."
How can I join a tribunal proceeding by phone?,You can join by phone if you cannot rejoin by videoconference. The notice from the tribunal will have the phone number to dial-in and any other information you need to join the proceeding by phone.
How can I access information about appealing a cannabis-related decision?,You can access the Cannabis-related appeals Information Sheet in PDF or HTML format.
What should I do if I cannot rejoin a videoconference proceeding with the Landlord Tenant Board?,Contact the tribunal immediately and try to join by phone if you cannot rejoin by videoconference. The notice from the tribunal will have the phone number to dial-in and any other information you need to join the proceeding by phone.
What should I do if I can't connect to my proceeding?,Contact the tribunal immediately and try to join by phone if you cannot rejoin by videoconference. The notice from your tribunal will have the phone number to dial-in and any other information you need to join the proceeding by phone.
How can I request accommodation for a disability-related need at the tribunal?,"You can request accommodation by selecting 'I require an accommodation on a procedural fairness need' on the Accommodation Request Form. The tribunal will provide accommodation to ensure equal access to the tribunal process, to the point of undue hardship. For example, if you have a visual impairment, the tribunal can provide its forms and documents in an accessible format such as large print or Braille."
How to submit a request for accommodation to the tribunal?,"You can submit the Accommodation Request Form as soon as possible, providing as much information as you can to explain your request. The form has contact information on where you can submit it. The tribunal will consider your request and may ask for more information to clarify it."
How long does it take to receive a response from the tribunal?,"In most cases, you will receive a response within two-to-five weeks. However, it may take longer if hearings are being scheduled further into the future."
How can I request a change in my hearing format?,You can request a change in your hearing format by contacting the tribunal and explaining your specific circumstances. The tribunal will consider various factors and may be able to accommodate you in a way that does not require a change in your hearing format. You may also want to visit the Request an Accommodation webpage to learn more about how the tribunal can help you participate in your hearing.
How to make a request to the Social Benefits Tribunal?,You can make a request to the Social Benefits Tribunal by submitting a detailed form explaining the reasons for your request. Provide as much information as possible to ensure the tribunal has all the necessary details. You can also review Tribunals Ontario's Practice Direction on Hearing Formats and Accessibility and Accommodation Policy for more information. Submit the form as soon as possible to avoid delaying your hearing. The Accommodation Request Form contains contact information for submission.
How long will it take to receive a response from the Social Benefits Tribunal?,"In most cases, you will receive a response within two-to-five weeks. However, it may take longer if hearings are being scheduled further into the future."
How long will it take for the tribunal to respond to my request for accommodation?,"In most cases, you will receive a response within two-to-five weeks. However, it may take longer if hearings are being scheduled further into the future."
How can I access records that are not related to a specific proceeding or case file?,"You can make a request for access under the Freedom of Information and Protection of Privacy Act (FIPPA). This act sets out procedures for making requests, establishes timelines for responses, and outlines limited exemptions to the right of access."
How can I request access to records from Tribunals Ontario?,"You must make a request in writing. You can complete the Tribunals Ontario Request for Records form or you can send a letter to Tribunals Ontario. Your letter must make it clear you are making a request for records, include your contact information and provide a detailed description of the information you are requesting."
How to file a complaint about the service received from Landlord and Tenant Board?,"To file a complaint about the service received from Landlord and Tenant Board, you can contact the Landlord and Tenant Board at 1-888-332-3234 or visit TribunalsOntario.ca/ltb."
How to file a complaint about services received from Tribunals Ontario?,"To file a complaint about services received from Tribunals Ontario, you need to explain the reasons for your complaint, including who, what, when, and where it occurred. You should also outline the steps you think should be taken to resolve your complaint and the specific outcome you are seeking. If your complaint is about a particular file, provide the file number."
How can I access legal assistance for my landlord-tenant issue as a low-income individual?,"You can access legal assistance through Legal Aid Ontario, which provides support for low-income individuals. Ontario's Community Legal Clinics, funded by Legal Aid Ontario, offer legal services for low-income individuals and families in various areas of law, including landlord-tenant issues. You can reach out to these clinics for help and advice, and they can also direct you to other community agencies for additional support."
How can I get legal advice and assistance for discrimination under the Human Rights Code in Ontario?,"You can contact the Human Rights Legal Support Centre (HRLSC) for legal advice and assistance. They provide information about your rights under the Code, advice on filing applications at the HRTO, and legal representation at mediation and hearings. They also offer culturally sensitive Indigenous legal support and accommodations for persons with disabilities."
How can I access legal expertise through JusticeNet?,"You can access legal expertise through JusticeNet if your net family income is under $59,000 and you are experiencing financial difficulties. You can reach out to them for assistance."
How can I find a lawyer to help me with my tenant rights?,You can use the referral service provided by the Law Society of Ontario to get the name of a lawyer or licensed paralegal who will offer a free 30-minute consultation to help you understand your rights and options.
How can I get legal assistance from Justice for Children and Youth?,"You can contact JFCY to see if you are eligible for direct legal assistance as a low-income child or youth under 18, or as a homeless youth under 25 in the Greater Toronto Area. They also offer summary legal advice, information, and assistance to young people, parents, professionals, and community groups across Ontario."
How can I get help from the Office of the Provincial Advocate for Children and Youth?,"You can contact the Advocate's Office if you have concerns related to youth justice, child welfare, children's mental health, development services, or children's treatment services. They respond to concerns from children, youth, and families seeking or receiving services in these areas."
What kind of challenges does the Education Law Project help with?,"The Education Law Project provides free child advocacy for challenges related to accommodating special needs/disabilities, unfair expulsions, suspensions, exclusions or transfers, being denied the right to attend school, and bullying or harassment."
How can I access free legal information on housing in Ontario?,"You can visit the Your Legal Rights website, which provides practical legal information on housing and other topics. Additionally, you can access free legal information in print and online, in English, French, and other languages, produced by Community Legal Education Ontario."
How can I ensure that the adjudicative tribunal I am dealing with is following the required governance and accountability guidelines?,"You can request the tribunal to provide you with their published governance and public accountability documents, including their mandate and mission statement, qualifications for members, service standards, complaints policy, and ethics plan. You can also inquire about the process of member appointments to ensure they are following a competitive, merit-based competition as required by the Adjudicative Tribunals Accountability, Governance and Appointments Act, 2009."
How can I engage with the Landlord Tenant Board for my case?,"You can use the easy-to-use online information tools, call the contact centre, or communicate with the tribunals via email. Additionally, some paper LTB applications are still accepted at over 60 ServiceOntario locations across Ontario."
How long does it take for L1 and L9 applications to be scheduled?,"On average, L1 and L9 applications are being scheduled within five months."
How can I check the status of my file and find out the details of my next hearing?,"You can use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing, and whether an order has been issued."
How can I submit documents to the Landlord and Tenant Board during the closure of public counters?,"You can mail or courier your documents to a Landlord and Tenant Board office. Remember to include your file number, if you have one. Courier mail should be addressed to the specific office, and mail sent through Canada Post should be addressed to the closest LTB office."
How can I file an LTB application online?,"You can file L1, L2, L3, L4, L9, L10, T1, T2, T5, T6, C1 and C2 applications through the Tribunals Ontario Portal. For most other LTB applications, you can file by email and pay online."
How can I learn more about my rights and responsibilities as a tenant?,"You can use the online tool Navigate Tribunals Ontario, visit the Housing Law section of Steps to Justice, consult the LTB Renting in Ontario webpage and guidelines, and seek legal advice from the Advocacy Centre for Tenants Ontario."
How can I submit documents to the Landlord and Tenant Board during the closure of public counters?,"You can mail or courier your documents to a Landlord and Tenant Board office. Remember to include your file number, if you have one. Courier mail should be addressed to 15 Grosvenor Street, Ground Floor, Toronto, Ontario M7A 2G6. If using Canada Post, address it to the closest LTB office based on your location. Applications can also be filed at the ServiceOntario counter at specific addresses. For inquiries, call 1-888-332-3234."
How can I file a Landlord and Tenant Board application in-person?,"You can visit some ServiceOntario Centres for in-person filing. However, ServiceOntario staff cannot provide information about the law or LTB procedures. You cannot mail or fax documents to a ServiceOntario location. If you are mailing documents, send them to one of the LTB offices. The LTB encourages the use of the Tribunals Ontario Portal for certain applications, and for most other LTB applications, you can file by email, pay online, or send your application by mail or courier to your LTB regional office."
How can I contact the Landlord Tenant Board for information about the Residential Tenancies Act and LTB's processes?,"You can call and speak to a customer service officer Monday to Friday from 8:30 a.m. to 5:00 p.m. at the toll-free number 1-888-332-3234 or the Toronto area number 416-645-8080. You can also access the automated information menu at these numbers 24/7 for information on various topics related to landlord and tenant rights, rent rules, and the LTB application and hearing process."
What should I do before contacting the LTB?,"Before contacting the LTB, you should try to resolve the issue with your landlord directly. Keep records of all communication and any relevant documents, such as your lease agreement or notices from your landlord."
How can I submit documents to the Landlord and Tenant Board during the closure of public counters?,"You can mail or courier your documents to a Landlord and Tenant Board office. If using courier mail, address it to 15 Grosvenor Street, Ground Floor, Toronto, Ontario M7A 2G6. If using Canada Post, address it to the closest LTB office based on your location."
How can I file a Landlord and Tenant Board application in-person?,You can visit some ServiceOntario Centres that accept all Landlord and Tenant Board applications in-person. Check the list of locations that accept applications and documents on behalf of the LTB. Keep in mind that ServiceOntario staff cannot provide you with information about the law or LTB procedures.
How can I file my application with the Landlord and Tenant Board?,"You can file your application through the Tribunals Ontario Portal for specific applications such as L1, L2, L3, L4, L9, L10, T1, T2, T5, T6, C1, and C2. For most other applications, you can file by email and pay online. Alternatively, you can send your application by mail or courier to your LTB regional office. Keep in mind that processing time may be longer for applications submitted by regular mail or courier."
How can I file evidence for an upcoming hearing with the Landlord Tenant Board?,"You can file your evidence online on the Tribunals Ontario Portal. If you are not able to file on the portal, please send all evidence for upcoming hearings by email to LTB.Evidence@ontario.ca. The email subject line must include your file number and the hearing date."
How can I contact the Landlord Tenant Board with general inquiries?,"You can use Navigate Tribunals Ontario for general questions or find information on their website. You can also try reading the Application and Hearing Process, Renting in Ontario, or enter a keyword in the “Search” box on their website."
How can I get information about the LTB's procedures for non-profit housing co-operative eviction inquiries?,You can contact the Landlord Tenant Board directly or visit their website to access information about the procedures for non-profit housing co-operative eviction inquiries.
How can I file evidence for an upcoming hearing with the LTB?,"You can file your evidence online on the Tribunals Ontario Portal. If you are not able to file on the portal, please send all evidence for upcoming hearings by email to LTB.Evidence@ontario.ca. The email subject line must include your file number and the hearing date."
How can I get information about the LTB's procedures for non-profit housing co-operative evictions?,"You can call 1-888-332-3234, 416-645-8080, or email co-opprocessingLTB@ontario.ca for inquiries about the LTB's procedures for non-profit housing co-operative evictions."
How can I request an accommodation for a hearing?,"You can request an accommodation for a hearing by filling out the Request for Accommodation form and sending it to the LTB as soon as possible. You can send the form by email, mail, fax, or courier. This will allow the LTB enough time to consider your request before the hearing."
How can I request a mediation or hearing in French?,"You can request a mediation or hearing in French by completing the Request for French-Language Services included in the application form, or by completing the Request for French-Language Services and emailing it to LTB@ontario.ca. A bilingual dispute resolution officer or adjudicator will be assigned to your mediation or hearing. It's important to make your request as soon as possible and well in advance of your mediation or hearing date."
What should I do if I have technical issues joining my hearing on Zoom?,"You can email LTBHearingSupport@ontario.ca, or call 416-212-9064 (toll-free 866-769-7865) for technical support. The support line is monitored between 8:30 a.m. and 4:30 p.m., Monday to Thursday, and from 8:30 a.m. to 2 p.m. on Friday. When you call for support, you will be asked to leave a brief voice message explaining the issue you are experiencing and provide your contact phone number. Staff will call you back promptly."
How can I troubleshoot technical issues with Zoom?,"It seems like the text provided is a snippet of code. To troubleshoot technical issues with Zoom, you can try the following steps: 1. Check your internet connection. 2. Restart the Zoom application. 3. Update Zoom to the latest version. 4. Contact Zoom technical support for further assistance."
What should I do if I have technical issues joining my hearing on Zoom?,You can email LTBHearingSupport@ontario.ca or call 416-212-9064 (toll-free 866-769-7865) for assistance. Staff will help you join your hearing.
How can I respond to media inquiries about my tenancy issue?,You should consult with a legal representative or a tenant advocacy group before speaking to the media. It's important to ensure that you are not violating any privacy laws or legal agreements by discussing your tenancy issue publicly.
How can I contact the Animal Care Review Board?,You can contact the Animal Care Review Board by telephone at 416-326-1356 or 1-888-444-0240. You can also reach them by email at ACRB.registrar@ontario.ca.
How can I contact the Child and Family Services Review Board?,You can contact the Child and Family Services Review Board by telephone at 416-327-0111 or 1-888-777-3616. You can also reach them by email at cfsrb@ontario.ca.
How can I contact the Tribunals Ontario for general inquiries?,You can contact Tribunals Ontario for general inquiries by telephone at 416-327-4673 or toll-free at 1-888-728-8823. You can also reach them by email at cfsrb@ontario.ca.
How can I contact the Fire Safety Commission about my case?,You can contact the Fire Safety Commission about your case by telephone at 416-326-1312 or toll-free at 1-866-598-0322. You can also reach them by email at FSCregistrar@ontario.ca.
How can I contact Tribunals Ontario - Landlord Tenant Board?,"You can contact Tribunals Ontario - Landlord Tenant Board by phone at 416-326-1356 or toll-free at 1-888-444-0240 during their telephone contact hours of 8:30 am - 5:00 pm, Monday to Friday. You can also reach them by TTY at 416-916-0162 or toll-free TTY at 1-844-650-2819. Additionally, you can email them at oset@ontario.ca."
How can I submit applications and supporting documentation to HRTO during the closure?,"You can email applications, supporting documentation, and case-related submissions to hrto.registrar@ontario.ca. If you submit by mail or courier, there may be processing delays due to the closure of front-line counter services."
How can I expedite the process of my file with the HRTO?,"Unfortunately, due to the high volume of inquiries, response times will be longer than usual. The HRTO is working diligently to action your file as soon as possible. You may follow up with the HRTO to check on the status of your file, but please be aware that expedited processing may not be possible at this time."
How can I contact the office of the Landlord Tenant Board?,You can contact the office by phone or email only as the front-line counter services are closed to the public until further notice.
How can I contact the media for assistance with my landlord issue?,You can reach out to local news outlets or journalists who cover housing and tenant rights issues. Provide them with a detailed account of your situation and any supporting evidence you have.
How can I access in-depth information about my situation?,"During your navigation, you may receive an info-sheet with in-depth information about the topic you are exploring. This information will help you decide what to do next. When you receive the info-sheet, read it carefully and click 'Next' to continue navigating."
How can I access the info-sheets and summary reports?,"You can access the info-sheets and summary reports by clicking on the option to print, email, or download them. Additionally, you can save and exit the navigation and receive an access code to come back and pick up where you left off."
What should I do if my landlord has filed an application to evict me for non-payment of rent?,You should attend the hearing and provide any evidence or documentation to support your case. You can also try to negotiate a repayment plan with your landlord to avoid eviction.
How can I access my file number and unique one-time pin for a case on the Tribunals Ontario Portal?,"You should check your email and mailbox for the file number and unique one-time pin sent by the LTB. If you haven't received them, you can contact the LTB for assistance."
How to file a complaint against my landlord for not maintaining the property?,"You can file an application with the Landlord and Tenant Board (LTB) to address issues related to maintenance and repairs. The LTB provides a process for resolving disputes between residential landlords and tenants, including issues related to property maintenance."
How to appeal a school board's decision about the identification or placement of a student with exceptional learning needs?,You can appeal to the Ontario Special Education Tribunals (OSETs) if you disagree with a school board's decision about the identification or placement of a student with exceptional learning needs under the Education Act and its regulations. The OSETs are independent from both school boards and the Ministry of Education.
How can I request an accommodation for participating in the CRB application and review process?,You can request an accommodation by letting your case processing officer know right away. They might be able to find another way of doing things to ensure your equal participation.
How can I challenge a decision made by a children's aid society to remove a child from a foster home?,"You can challenge the decision by filing a complaint with the appropriate authorities, as outlined in section 109 of the legislation."
What is the role of a dispute resolution officer at the Landlord Tenant Board?,"Dispute resolution officers at the Landlord Tenant Board can also act as hearing officers. They conduct case management hearings where parties might resolve some or all of the issues in the application, or simply prepare for the full hearing by deciding the issues in dispute and making sure they have all the documentation they need."
What is the role of a member of the LTB?,"A member of the LTB is a decision maker who holds a hearing. They review the evidence presented by landlords and tenants, apply the relevant law, and make a legally enforceable decision."
How can I request a bilingual hearing or mediation in French?,Complete the Request for French-Language Services Form and submit it as soon as possible and well in advance of your hearing date.
How can I request to have my HRTO mediation or hearing conducted in French?,"If you filed in English but would prefer to continue in French, advise the HRTO as soon as possible. They can conduct mediations and hearings in French, and if your application or response is filed in French, a bilingual member will be assigned to your hearing."
How can I request to have my CFSRB mediation or hearing conducted in French?,"You can request to have your CFSRB mediation or hearing conducted in French by notifying the board as soon as possible. They offer services in both English and French, and if you filed your application in French, a bilingual member will be assigned."
How can I request a sign language interpreter for my LTB proceeding?,Complete the “Request for Accommodation or French-Language Services” form and make your request as soon as possible and well in advance of your hearing.
What should I do if I need to send a file-specific inquiry or request to the Landlord Tenant Board?,You should send your email to LTB@ontario.ca as this is the single email address for all file-specific inquiries and requests.
How can I check the status of my file with the Landlord Tenant Board?,You can use the Tribunals Ontario Portal to check your file status in real time.
How can I check the status of my file and find out the details of my next hearing?,"You can use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing, and whether an order has been issued."
How can I get technical support for joining my hearing on Zoom?,You can email LTBHearingSupport@ontario.ca or call 416-212-9064 (toll-free 866-769-7865) for assistance if you have technical issues joining your hearing on Zoom.
How can I connect with my landlord to resolve a dispute through the online dispute resolution feature?,You can use the online dispute resolution feature on the portal to connect directly with your landlord and come to a resolution.
How can I access the new online forms for the Landlord and Tenant Board (LTB)?,You can access the new online forms for the LTB through the Tribunals Ontario Portal. The portal has been updated with a new self-scheduling feature that allows applicants to select their preferred hearing date and timeslot.
How can I file an application to end a tenancy and evict a tenant if they failed to meet conditions of a settlement or order?,"You can file an Application to End a Tenancy and Evict a Tenant – Tenant Failed to Meet Conditions of a Settlement or Order. This can be done through the self-scheduling feature, and you may be asked to consider online dispute resolution before proceeding."
How can I receive documents such as Notice of Hearing or order faster?,You can receive documents faster by opting for all correspondence by email and through the portal. This will benefit both the LTB and the parties accessing LTB services by reducing administrative burden and allowing for faster delivery of documents.
How can I pay my fees for filing applications and requests with the LTB?,"If you are filing your application using the Tribunals Ontario Portal or by email and paying using the Online Payment Portal, do not include credit card information on the form. However, if you are filing applications and requests by mail or courier and paying fees by credit card, you must use the new Credit Card Payment Form introduced by the LTB."
How can I submit a fee waiver request as a tenant?,"As a tenant, you can have your legal representative submit a fee waiver request through the portal on your behalf, as per Rule 2.1."
"How can I confirm with the LTB that I agree to give file-related documents, evidence, and submissions to the other party?",You can confirm your agreement by uploading the Consent to Disclosure form on the Tribunals Ontario Portal at the same time you upload your evidence.
How can I submit urgent applications or documents to the Landlord Tenant Board if I don't have access to a computer or internet?,"If you don't have access to a computer or internet, and need to submit urgent applications or documents to the Landlord Tenant Board, you can fax them to the new fax line at 1-833-610-2242 or (416) 326-6455. This method is available for urgent applications, such as when a tenant is looking to stop an eviction or to request a review."
How can I submit payment information to the LTB if I'm not eligible for a fee waiver?,"You can contact the LTB at 1-888-332-3234 for information on how to submit payment information if you are not eligible for a fee waiver. Alternatively, you can learn about how to pay on the LTB website."
How can I pay non-profit housing co-operative (co-op) applications?,You can pay through the online payment portal and file by email at co-opprocesseingLTB@ontario.ca. Make sure to include a copy of the payment with the application.
How long does it take for L1 and L9 applications to be scheduled at the LTB?,"On average, L1 and L9 applications are being scheduled within five months."
How long does it take for orders to be sent after a hearing at the LTB?,"On average, orders are being sent within 60 days or less of a hearing."
How can I check the status of my file and find out the date and details of my next hearing at the LTB?,"You can use the Tribunals Ontario Portal to check the status of your file, find out the date and details of your next hearing, and whether an order has been issued."
What is the average wait time to speak to a call centre representative at the LTB?,"You may need to wait as long as 37 minutes to speak to a call centre representative. When all lines are busy with other callers, you will get a busy signal."
What should I do if I have technical issues on the day of my hearing?,"You can email LTBHearingSupport@ontario.ca, or call 416-212-9064 (toll-free 866-769-7865) for assistance to join your hearing. Make sure to only use this contact information for technical issues joining Zoom on the day of your hearing."
How to schedule a hearing for my tenant application at the Landlord Tenant Board?,You can use the self-scheduling feature on the LTB portal to select your preferred hearing date and timeslot available for your application type.
How can I schedule a hearing date and timeslot for my application at the Landlord and Tenant Board?,You can use the new self-scheduling feature on the Tribunals Ontario Portal to select your preferred hearing date and timeslot available for your application type.
How can I schedule a hearing for my application with the Landlord Tenant Board?,"Upon filing your application, you will be asked to consider online dispute resolution. If you are not able to resolve the matter, you will get a notification from the system providing you with a few date and timeslot options to choose from."
How can I access a basic cell phone for my LTB hearing?,"If your request is approved, the LTB can loan you a basic cell phone so you can call into your hearing by telephone. If you have a prepaid or pay as you go plan with limited airtime talk minutes, the LTB can provide you with a top-up voucher to give you enough airtime minutes to take part in your hearing by telephone."
How can I pay my fees by credit card when filing an application or request by mail or courier?,"You must complete the Credit Card Payment Form and submit it with your application or request. The form can be found on the Forms page of the LTB website. However, if you are filing your application using the Tribunals Ontario Portal or by email and paying using the Online Payment Portal, do not include credit card information on the form."
How can I submit a fee waiver request to the LTB?,"You can submit a fee waiver request through the portal, and if you have a legal representative, they can do it on your behalf."
Can I serve documents to the other party through the LTB portal?,"Yes, parties may serve each other with documents through the portal with written consent, as per Rule 3.1(i) and 3.9."
What are the options for submitting documents to the LTB?,"Parties may submit documents to the LTB through the portal, or by email or fax, as per Rule 4.1."
How should I sign documents submitted through the LTB portal?,"Documents submitted to the LTB through the portal may be electronically signed, as per Rule 4.2."
Are settlement discussions during Online Dispute Resolution confidential?,"Yes, settlement discussions during Online Dispute Resolution are confidential, as per Rule 13.5."
"How can I give file-related documents, evidence, and submissions to the LTB?","You can confirm with the LTB that you agree to give file-related documents, evidence, and submissions by uploading them directly into the Tribunals Ontario Portal. You should also upload the Consent to Disclosure form on the portal at the same time you upload your evidence."
How can I submit urgent applications or documents to the LTB if I don't have access to a computer or internet?,"If you don't have access to a computer or internet, and need to submit urgent applications or documents to the LTB, you can fax them to the new fax line at 1-833-610-2242 or (416) 326-6455. This method is available for urgent applications, such as when a tenant is looking to stop an eviction or to request a review."
How can I submit payment information to the LTB if I'm not eligible for a fee waiver?,"You can contact the LTB at 1-888-332-3234 for information on how to submit payment information if you are not eligible for a fee waiver. Alternatively, you can learn about how to pay on their website."
How can I pay for a non-profit housing co-operative application at LTB?,You can pay through the online payment portal and file by email at co-opprocessingLTB@ontario.ca. Make sure to include a copy of the payment with the application.
What should I do if I have technical issues joining a Zoom hearing with the Landlord and Tenant Board?,"If you have technical issues joining a Zoom hearing with the Landlord and Tenant Board, you can email LTBHearingSupport@ontario.ca, or call 416-212-9064 (toll-free 866-769-7865) for assistance. Make sure to only use this contact information for technical issues on the day of your hearing."
How can I schedule a hearing for my tenant application for a rebate?,You can use the self-scheduling feature on the LTB portal to select your preferred hearing date and timeslot for your tenant application for a rebate.
How can I access the new self-scheduling feature for LTB hearings?,"You can access the new self-scheduling feature for LTB hearings through the Tribunals Ontario Portal. Once logged in, you will be able to select your preferred hearing date and timeslot available for your application type."
How can I schedule a Zoom hearing for my L3 application to end a tenancy?,"You can file your application and then consider online dispute resolution. If the matter is not resolved, you will receive a notification from the system with date and timeslot options to choose from for the Zoom hearing."
How can I access a basic cell phone for my LTB hearing?,"If your request is approved, the LTB can loan you a basic cell phone so you can call into your hearing by telephone. If you have a prepaid or pay as you go plan with limited airtime talk minutes, the LTB can provide you with a top-up voucher to give you enough airtime minutes to take part in your hearing by telephone."
How do I pay application fees by credit card when filing by mail or courier?,"You must complete the Credit Card Payment Form and submit it with your application or request. The form can be found on the Forms page of the LTB website. However, if you are filing your application using the Tribunals Ontario Portal or by email and paying using the Online Payment Portal, do not include credit card information on the form."
How can I request a fee waiver for my case?,"As a tenant, you can have your legal representative submit a fee waiver request through the portal on your behalf, as per Rule 2.1."
Can I serve documents to the landlord through the portal?,"Yes, as per Rule 3.1(i) and 3.9, parties may serve each other with documents through the portal with written consent. Make sure to obtain written consent before serving documents through the portal."
How can I submit documents to the LTB?,"You can submit documents to the LTB through the portal, or if necessary, by email or fax as per Rule 4.1. Additionally, documents submitted through the portal may be electronically signed, as per Rule 4.2."
How are settlement discussions handled during Online Dispute Resolution?,"Settlement discussions during Online Dispute Resolution are confidential, as per Rule 13.5. It's important to keep this in mind when engaging in settlement discussions."
"How do I give consent to disclose file-related documents, evidence, and submissions through the Tribunals Ontario Portal?",You can give consent by completing the new form - Consent to Disclosure through the Tribunals Ontario Portal - and uploading it on the portal at the same time you upload your evidence.
How can I submit urgent applications or documents to the LTB if I don't have access to a computer or internet?,"If you don't have access to a computer or internet, and need to submit urgent applications or documents to the LTB, you can fax them to the new fax line at 1-833-610-2242 or (416) 326-6455. This method is available for urgent applications, such as when a tenant is looking to stop an eviction or to request a review."
